City,Leisure Type,Longitude,Latitude
Oakville,park,-79.69895635861235,43.469252000541985
Oakville,park,-79.70045766794058,43.46786685054198
Oakville,private,-79.70146211043875,43.46727885054197
Oakville,park,-79.69981426371717,43.468562300541976
Oakville,park,-79.69907724782934,43.469249050541976
Oakville,park,-79.69840152357774,43.46979570054198
Oakville,playground,-79.71062792886849,43.444255500542006
Oakville,park,-79.69864310061872,43.469683150541975
Oakville,park,-79.70107863589121,43.467744350541984
Oakville,park,-79.70312189999999,43.46574650054198
Oakville,park,-79.69841414955971,43.470089350541976
Oakville,park,-79.70154260765662,43.46750085054199
Oakville,park,-79.699462475046,43.46938735054198
Oakville,park,-79.69875287944186,43.46995720054197
Oakville,park,-79.69993816828361,43.46915335054197
Oakville,park,-79.69904174376208,43.46978105054196
Oakville,park,-79.69957723341837,43.469405950541976
Oakville,park,-79.69903219330406,43.46992405054198
Oakville,park,-79.7003688450132,43.468910850541974
Oakville,park,-79.7012433150266,43.46856420054198
Oakville,park,-79.70633649832946,43.46427690054198
Oakville,park,-79.70105450115997,43.46862780054198
Oakville,park,-79.70015375729167,43.469210600541984
Oakville,park,-79.70050985447153,43.46900400054197
Oakville,park,-79.69909666063577,43.47011690054197
Oakville,park,-79.7012147337548,43.468359100541974
Oakville,park,-79.70062006561812,43.468917750541976
Oakville,park,-79.69373520431063,43.42077565054199
Oakville,park,-79.70131475180918,43.46831850054197
Oakville,park,-79.69896511829509,43.47024335054197
Oakville,park,-79.7004521084724,43.46904960054197
Oakville,park,-79.70216426594203,43.467716000541984
Oakville,park,-79.70047683580401,43.46914070054197
Oakville,park,-79.70865084999998,43.460657300541996
Oakville,park,-79.70126417768631,43.46876255054198
Oakville,park,-79.70075722306336,43.46925330054197
Oakville,park,-79.6934803,43.42081280054199
Oakville,park,-79.70091112604939,43.46919455054197
Oakville,park,-79.68650166643963,43.47768085054195
Oakville,playground,-79.69357898139049,43.42070205054199
Oakville,park,-79.70158751950265,43.46877370054197
Oakville,park,-79.69691966725583,43.472589950541966
Oakville,park,-79.70108301289471,43.46952620054198
Oakville,playground,-79.68503467883247,43.478142700541966
Oakville,playground,-79.68282107080017,43.47883915054196
Oakville,playground,-79.6844576994294,43.47846515054196
Oakville,park,-79.70160408630186,43.46947400054197
Oakville,park,-79.70185875488,43.469289500541976
Oakville,park,-79.70217813266996,43.46936480054197
Oakville,park,-79.71193872256816,43.457657250541985
Oakville,park,-79.70199097185659,43.46966375054198
Oakville,playground,-79.71149565519013,43.45783555054199
